"Site_ID","Year","Est_survival"
"BV",1993,0.143
"CA",1993,0.146
"CH",1993,0.223
"CL",1993,NA
"WC",1993,0.187
"EL",1993,0.14
"HE",1993,0.101
"LA",1993,0.187
"BL",1993,0.318
"LO",1993,0.178
"MA",1993,0.179
"SF",1993,0.155
"SE",1993,0.17
"SU",1993,0.081
"BU",1993,0.083
"VA",1993,0.073
"BV",1994,0.263
"CA",1994,0.292
"CH",1994,NA
"CL",1994,0.023
"WC",1994,0.126
"EL",1994,0.185
"HE",1994,0.121
"LA",1994,0.155
"BL",1994,0.346
"LO",1994,0.26
"MA",1994,0.186
"SF",1994,0.148
"SE",1994,0.159
"SU",1994,NA
"BU",1994,0.112
"VA",1994,0.147
"BV",1995,0.106
"CA",1995,0.084
"CH",1995,0.124
"CL",1995,0.131
"WC",1995,0.098
"EL",1995,0.102
"HE",1995,0.137
"LA",1995,0.13
"BL",1995,0.317
"LO",1995,0.182
"MA",1995,0.138
"SF",1995,0.102
"SE",1995,0.116
"SU",1995,0.161
"BU",1995,0.142
"VA",1995,0.064
"BV",1996,NA
"CA",1996,NA
"CH",1996,NA
"CL",1996,NA
"WC",1996,NA
"EL",1996,NA
"HE",1996,NA
"LA",1996,0.217
"BL",1996,NA
"LO",1996,NA
"MA",1996,NA
"SF",1996,0.064
"SE",1996,0.147
"SU",1996,NA
"BU",1996,NA
"VA",1996,NA
"BV",1997,NA
"CA",1997,NA
"CH",1997,NA
"CL",1997,NA
"WC",1997,NA
"EL",1997,NA
"HE",1997,NA
"LA",1997,0.14
"BL",1997,NA
"LO",1997,NA
"MA",1997,NA
"SF",1997,0.149
"SE",1997,0.329
"SU",1997,NA
"BU",1997,NA
"VA",1997,NA
"BV",1998,0.285
"CA",1998,NA
"CH",1998,NA
"CL",1998,NA
"WC",1998,NA
"EL",1998,0.483
"HE",1998,NA
"LA",1998,0.239
"BL",1998,NA
"LO",1998,NA
"MA",1998,NA
"SF",1998,0.179
"SE",1998,0.274
"SU",1998,NA
"BU",1998,NA
"VA",1998,NA
"BV",1999,0.159
"CA",1999,NA
"CH",1999,0.209
"CL",1999,NA
"WC",1999,NA
"EL",1999,0.231
"HE",1999,0.219
"LA",1999,0.144
"BL",1999,0.448
"LO",1999,0.275
"MA",1999,0.282
"SF",1999,0.142
"SE",1999,0.145
"SU",1999,0.161
"BU",1999,0.161
"VA",1999,0.173
"BV",2000,0.159
"CA",2000,0.234
"CH",2000,0.142
"CL",2000,NA
"WC",2000,NA
"EL",2000,0.186
"HE",2000,0.169
"LA",2000,0.152
"BL",2000,0.356
"LO",2000,0.196
"MA",2000,0.131
"SF",2000,0.113
"SE",2000,0.128
"SU",2000,0.181
"BU",2000,0.207
"VA",2000,0.148
"BV",2001,0.23
"CA",2001,NA
"CH",2001,NA
"CL",2001,NA
"WC",2001,NA
"EL",2001,0.27
"HE",2001,0.254
"LA",2001,NA
"BL",2001,NA
"LO",2001,NA
"MA",2001,NA
"SF",2001,0.137
"SE",2001,0.348
"SU",2001,NA
"BU",2001,NA
"VA",2001,0.16
"BV",2002,0.167
"CA",2002,NA
"CH",2002,NA
"CL",2002,NA
"WC",2002,0.232
"EL",2002,0.102
"HE",2002,NA
"LA",2002,0.113
"BL",2002,0.381
"LO",2002,NA
"MA",2002,0.16
"SF",2002,0.085
"SE",2002,0.101
"SU",2002,NA
"BU",2002,NA
"VA",2002,0.113
"BV",2003,0.098
"CA",2003,0.075
"CH",2003,0.112
"CL",2003,0.06
"WC",2003,0.051
"EL",2003,0.071
"HE",2003,0.123
"LA",2003,0.041
"BL",2003,0.191
"LO",2003,0.193
"MA",2003,0.131
"SF",2003,0.028
"SE",2003,0.038
"SU",2003,0.109
"BU",2003,0.103
"VA",2003,0.057
"BV",2004,0.058
"CA",2004,0.101
"CH",2004,0.058
"CL",2004,0.092
"WC",2004,0.084
"EL",2004,0.08
"HE",2004,0.118
"LA",2004,0.068
"BL",2004,0.185
"LO",2004,0.137
"MA",2004,0.084
"SF",2004,0.07
"SE",2004,0.043
"SU",2004,0.041
"BU",2004,0.094
"VA",2004,0.055
"BV",2005,0.037
"CA",2005,0.121
"CH",2005,0.076
"CL",2005,0.045
"WC",2005,0.117
"EL",2005,0.059
"HE",2005,0.111
"LA",2005,0.068
"BL",2005,0.113
"LO",2005,0.099
"MA",2005,0.073
"SF",2005,0.071
"SE",2005,0.071
"SU",2005,0.069
"BU",2005,0.087
"VA",2005,0.059
"BV",2006,0.096
"CA",2006,0.135
"CH",2006,0.182
"CL",2006,NA
"WC",2006,0.145
"EL",2006,0.203
"HE",2006,0.262
"LA",2006,0.073
"BL",2006,0.209
"LO",2006,0.367
"MA",2006,0.161
"SF",2006,0.071
"SE",2006,0.08
"SU",2006,0.143
"BU",2006,0.144
"VA",2006,0.13
"BV",2007,0.196
"CA",2007,0.2
"CH",2007,0.144
"CL",2007,0.112
"WC",2007,0.097
"EL",2007,0.12
"HE",2007,0.197
"LA",2007,0.104
"BL",2007,0.297
"LO",2007,NA
"MA",2007,NA
"SF",2007,NA
"SE",2007,0.14
"SU",2007,NA
"BU",2007,0.21
"VA",2007,0.109
"BV",2008,0.177
"CA",2008,0.245
"CH",2008,0.269
"CL",2008,NA
"WC",2008,NA
"EL",2008,0.25
"HE",2008,0.334
"LA",2008,0.219
"BL",2008,0.259
"LO",2008,0.384
"MA",2008,0.192
"SF",2008,NA
"SE",2008,NA
"SU",2008,0.231
"BU",2008,0.323
"VA",2008,0.121
"BV",2009,0.167
"CA",2009,0.164
"CH",2009,NA
"CL",2009,0.332
"WC",2009,0.162
"EL",2009,0.242
"HE",2009,NA
"LA",2009,0.11
"BL",2009,0.3
"LO",2009,0.29
"MA",2009,0.252
"SF",2009,0.144
"SE",2009,0.198
"SU",2009,0.276
"BU",2009,0.139
"VA",2009,0.11
"BV",2010,0.106
"CA",2010,0.292
"CH",2010,0.203
"CL",2010,0.193
"WC",2010,0.111
"EL",2010,0.108
"HE",2010,0.165
"LA",2010,0.099
"BL",2010,0.255
"LO",2010,0.324
"MA",2010,0.187
"SF",2010,0.215
"SE",2010,0.193
"SU",2010,0.205
"BU",2010,0.179
"VA",2010,0.05
"BV",2011,0.145
"CA",2011,0.36
"CH",2011,0.159
"CL",2011,0.215
"WC",2011,0.144
"EL",2011,0.176
"HE",2011,0.201
"LA",2011,0.106
"BL",2011,0.232
"LO",2011,0.26
"MA",2011,0.225
"SF",2011,0.201
"SE",2011,0.177
"SU",2011,0.18
"BU",2011,0.121
"VA",2011,0.08
"BV",2012,0.088
"CA",2012,NA
"CH",2012,NA
"CL",2012,0.059
"WC",2012,0.114
"EL",2012,0.15
"HE",2012,0.137
"LA",2012,0.063
"BL",2012,0.226
"LO",2012,0.269
"MA",2012,0.158
"SF",2012,0.123
"SE",2012,0.143
"SU",2012,0.148
"BU",2012,0.118
"VA",2012,0.14
"BV",2013,0.088
"CA",2013,0.307
"CH",2013,NA
"CL",2013,0.131
"WC",2013,0.053
"EL",2013,0.068
"HE",2013,0.088
"LA",2013,0.074
"BL",2013,0.29
"LO",2013,0.232
"MA",2013,NA
"SF",2013,0.107
"SE",2013,0.136
"SU",2013,0.071
"BU",2013,0.095
"VA",2013,0.071
"BV",2014,0.063
"CA",2014,0.163
"CH",2014,0.137
"CL",2014,0.087
"WC",2014,0.055
"EL",2014,0.089
"HE",2014,0.198
"LA",2014,0.088
"BL",2014,0.129
"LO",2014,0.191
"MA",2014,0.11
"SF",2014,0.108
"SE",2014,0.138
"SU",2014,NA
"BU",2014,0.16
"VA",2014,0.052
"BV",2015,0.08
"CA",2015,0.102
"CH",2015,0.098
"CL",2015,0.107
"WC",2015,0.118
"EL",2015,0.122
