"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"BV",1993,120.2,137,171
"CA",1993,123.6,136,151
"CH",1993,129.5,141,176
"CL",1993,NA,NA,NA
"WC",1993,118,136.5,171
"EL",1993,121.6,136,161.4
"HE",1993,116,126,143
"LA",1993,113,128.5,172
"BL",1993,114,119,133
"LO",1993,125,132.5,137
"MA",1993,119,135,151.2
"SF",1993,120,137,153.1
"SE",1993,117,138,171
"SU",1993,117.9,136,155.8
"BU",1993,128,138,141.8
"VA",1993,121,140,153
"BV",1994,113,131,152.5
"CA",1994,120.1,135.5,154
"CH",1994,NA,NA,NA
"CL",1994,115,115,115
"WC",1994,114.3,121,188.1
"EL",1994,113,129,151
"HE",1994,112,118,137
"LA",1994,114.2,121,139
"BL",1994,113,119,134
"LO",1994,120,131,149
"MA",1994,113,125.5,142.5
"SF",1994,122,136,190
"SE",1994,112,119,192
"SU",1994,NA,NA,NA
"BU",1994,125,139,197
"VA",1994,114,132,156
"BV",1995,117.2,135,160.6
"CA",1995,117,131.5,154.9
"CH",1995,119.4,134,162.2
"CL",1995,119,129,171.2
"WC",1995,105.8,130,159.2
"EL",1995,108,130,156
"HE",1995,105.6,120,133
"LA",1995,107,130,157.8
"BL",1995,109.3,121,133.4
"LO",1995,113,131,148
"MA",1995,107.7,129,143.3
"SF",1995,110,130,158
"SE",1995,105,121,144
"SU",1995,119.6,143,158.8
"BU",1995,126,143,162
"VA",1995,123.7,155,178.2
"BV",1996,NA,NA,NA
"CA",1996,NA,NA,NA
"CH",1996,NA,NA,NA
"CL",1996,NA,NA,NA
"WC",1996,NA,NA,NA
"EL",1996,NA,NA,NA
"HE",1996,NA,NA,NA
"LA",1996,106,114,140
"BL",1996,NA,NA,NA
"LO",1996,NA,NA,NA
"MA",1996,NA,NA,NA
"SF",1996,111,136,150.5
"SE",1996,105,116,149.5
"SU",1996,NA,NA,NA
"BU",1996,NA,NA,NA
"VA",1996,NA,NA,NA
"BV",1997,NA,NA,NA
"CA",1997,NA,NA,NA
"CH",1997,NA,NA,NA
"CL",1997,NA,NA,NA
"WC",1997,NA,NA,NA
"EL",1997,NA,NA,NA
"HE",1997,NA,NA,NA
"LA",1997,102.8,115,179.4
"BL",1997,NA,NA,NA
"LO",1997,NA,NA,NA
"MA",1997,NA,NA,NA
"SF",1997,104,118,159.8
"SE",1997,100,109,124
"SU",1997,NA,NA,NA
"BU",1997,NA,NA,NA
"VA",1997,NA,NA,NA
"BV",1998,114,126,143
"CA",1998,NA,NA,NA
"CH",1998,NA,NA,NA
"CL",1998,NA,NA,NA
"WC",1998,NA,NA,NA
"EL",1998,97,122.5,135
"HE",1998,NA,NA,NA
"LA",1998,93,115,142
"BL",1998,NA,NA,NA
"LO",1998,NA,NA,NA
"MA",1998,NA,NA,NA
"SF",1998,115,131,160
"SE",1998,96.7,114,148
"SU",1998,NA,NA,NA
"BU",1998,NA,NA,NA
"VA",1998,NA,NA,NA
"BV",1999,113,123,158
"CA",1999,NA,NA,NA
"CH",1999,119,142,148.5
"CL",1999,NA,NA,NA
"WC",1999,NA,NA,NA
"EL",1999,111,123,147
"HE",1999,110,119,130
"LA",1999,110,116,147
"BL",1999,109,118,143
"LO",1999,120,138,147
"MA",1999,111,121,143.8
"SF",1999,90,124,152
"SE",1999,95.3,113,144.4
"SU",1999,114,139,146
"BU",1999,118,134,154
"VA",1999,114,133,163
"BV",2000,109,127,154
"CA",2000,117.7,146,154
"CH",2000,122,145,153
"CL",2000,NA,NA,NA
"WC",2000,NA,NA,NA
"EL",2000,106.2,119,140
"HE",2000,108,124,145.5
"LA",2000,104,124,157
"BL",2000,110,121,133.5
"LO",2000,113,129,145
"MA",2000,112,119,147.6
"SF",2000,111,139,152
"SE",2000,104,114,151.8
"SU",2000,106,128,144.8
"BU",2000,121.3,148,166
"VA",2000,111,133,149.2
"BV",2001,128.1,136.5,147.9
"CA",2001,NA,NA,NA
"CH",2001,NA,NA,NA
"CL",2001,NA,NA,NA
"WC",2001,NA,NA,NA
"EL",2001,128.1,132.5,147
"HE",2001,120,124,134
"LA",2001,NA,NA,NA
"BL",2001,NA,NA,NA
"LO",2001,NA,NA,NA
"MA",2001,NA,NA,NA
"SF",2001,119.8,134,150.4
"SE",2001,107.4,118,131
"SU",2001,NA,NA,NA
"BU",2001,NA,NA,NA
"VA",2001,130,139,152
"BV",2002,106,124,151
"CA",2002,NA,NA,NA
"CH",2002,NA,NA,NA
"CL",2002,NA,NA,NA
"WC",2002,116,124,140
"EL",2002,107,119,153
"HE",2002,NA,NA,NA
