"Site_ID","Year","X10th_percentile","Median","X90th_percentile"
"BV",2001,32,41,53
"CA",2001,NA,NA,NA
"CH",2001,NA,NA,NA
"CL",2001,NA,NA,NA
"WC",2001,NA,NA,NA
"EL",2001,29.2,41,47.2
"HE",2001,31.6,40,48.8
"LA",2001,NA,NA,NA
"BL",2001,NA,NA,NA
"LO",2001,NA,NA,NA
"MA",2001,NA,NA,NA
"SF",2001,32,49.5,63
"SE",2001,34,45.5,56
"SU",2001,NA,NA,NA
"BU",2001,NA,NA,NA
"VA",2001,34,44,57
"BV",2002,30.6,44,56.2
"CA",2002,NA,NA,NA
"CH",2002,NA,NA,NA
"CL",2002,NA,NA,NA
"WC",2002,31.1,38.5,48.9
"EL",2002,30.7,41.5,53
"HE",2002,45,45,45
"LA",2002,23.7,38,49.9
"BL",2002,25,34,41.6
"LO",2002,NA,NA,NA
"MA",2002,24.3,38,49.7
"SF",2002,28.8,41,57.1
"SE",2002,28.4,42,53.2
"SU",2002,NA,NA,NA
"BU",2002,NA,NA,NA
"VA",2002,30,41,52
"BV",2003,32.5,46.5,53
"CA",2003,28.6,47,54.8
"CH",2003,37.9,45.5,58
"CL",2003,33,33,33
"WC",2003,32.4,48,57
"EL",2003,34,45,54.5
"HE",2003,22.4,36,48.6
"LA",2003,21,28,40.8
"BL",2003,27,36,49.3
"LO",2003,34.3,45,54
"MA",2003,29.4,41,56.4
"SF",2003,23,39,51
"SE",2003,32,42,54
"SU",2003,28.8,36.5,49.2
"BU",2003,32.7,43,56
"VA",2003,35.3,48,60.7
"BV",2004,33.7,41.5,54.3
"CA",2004,34,43.5,53
"CH",2004,28.4,37,47.8
"CL",2004,36.9,44.5,55.6
"WC",2004,35,40,48.1
"EL",2004,33,45,56.2
"HE",2004,28.9,40,54
"LA",2004,32,37.5,46.9
"BL",2004,28.8,37,45
"LO",2004,32,40,51
"MA",2004,27.5,36,50
"SF",2004,26.1,42,55.8
"SE",2004,27.4,41,55.8
"SU",2004,32.6,42,48.4
"BU",2004,29.3,42,55
"VA",2004,36,44,54
"BV",2005,40.5,52,58.5
"CA",2005,34.6,44,54
"CH",2005,30,43,57.5
"CL",2005,35.5,44,52.5
"WC",2005,31.6,40,47.4
"EL",2005,37.6,46.5,58.1
"HE",2005,30,46,60
