DateDetected,Count,InstreamMonitor
7/24/16,2,Valley
7/25/16,15,Valley
7/26/16,25,Valley
7/27/16,18,Valley
7/28/16,8,Valley
7/29/16,2,Valley
7/30/16,1,Valley
7/31/16,3,Valley
8/1/16,2,Valley
8/2/16,4,Valley
8/3/16,4,Valley
8/4/16,1,Valley
8/5/16,1,Valley
8/6/16,1,Valley
8/7/16,1,Valley
8/8/16,1,Valley
8/9/16,4,Valley
8/10/16,15,Valley
8/11/16,7,Valley
8/12/16,8,Valley
8/13/16,3,Valley
8/14/16,4,Valley
8/15/16,1,Valley
8/21/16,4,Valley
8/23/16,2,Valley
8/24/16,3,Valley
8/25/16,2,Valley
8/28/16,1,Valley
8/30/16,3,Valley
8/31/16,1,Valley
9/3/16,1,Valley
9/4/16,3,Valley
9/5/16,4,Valley
9/7/16,1,Valley
9/9/16,1,Valley
9/10/16,1,Valley
9/14/16,1,Valley
9/15/16,3,Valley
9/17/16,1,Valley
9/18/16,1,Valley
9/19/16,1,Valley
9/20/16,1,Valley
9/21/16,2,Valley
9/22/16,6,Valley
9/23/16,3,Valley
9/24/16,2,Valley
9/27/16,2,Valley
9/30/16,1,Valley
10/3/16,6,Valley
10/4/16,1,Valley
10/5/16,2,Valley
10/6/16,1,Valley
10/8/16,2,Valley
10/10/16,1,Valley
10/12/16,1,Valley
10/13/16,2,Valley
10/14/16,31,Valley
10/15/16,29,Valley
10/16/16,16,Valley
10/17/16,11,Valley
10/18/16,2,Valley
10/19/16,8,Valley
10/20/16,1,Valley
10/21/16,2,Valley
10/22/16,1,Valley
10/23/16,2,Valley
10/24/16,1,Valley
10/25/16,1,Valley
10/26/16,2,Valley
10/27/16,1,Valley
10/28/16,2,Valley
10/30/16,2,Valley
10/31/16,2,Valley
11/1/16,1,Valley
11/2/16,3,Valley
11/3/16,2,Valley
11/5/16,10,Valley
11/6/16,1,Valley
11/7/16,1,Valley
11/8/16,4,Valley
11/9/16,1,Valley
11/10/16,5,Valley
11/12/16,1,Valley
11/13/16,1,Valley
11/14/16,1,Valley
11/15/16,5,Valley
11/16/16,4,Valley
11/17/16,1,Valley
11/19/16,4,Valley
11/20/16,2,Valley
11/22/16,3,Valley
11/24/16,4,Valley
11/25/16,3,Valley
11/27/16,2,Valley
11/28/16,1,Valley
11/29/16,4,Valley
12/8/16,1,Valley
12/10/16,2,Valley
12/12/16,1,Valley
12/20/16,1,Valley
12/23/16,1,Valley
12/24/16,2,Valley
12/26/16,2,Valley
12/29/16,1,Valley
12/30/16,1,Valley
12/31/16,3,Valley
1/5/17,1,Valley
1/8/17,2,Valley
1/10/17,2,Valley
1/19/17,1,Valley
1/21/17,2,Valley
1/24/17,1,Valley
1/28/17,2,Valley
2/3/17,1,Valley
2/5/17,2,Valley
2/8/17,1,Valley
2/9/17,4,Valley
2/10/17,2,Valley
2/11/17,3,Valley
2/17/17,5,Valley
2/18/17,1,Valley
2/19/17,2,Valley
2/20/17,2,Valley
2/21/17,1,Valley
2/22/17,7,Valley
2/23/17,3,Valley
2/24/17,4,Valley
2/25/17,3,Valley
2/26/17,2,Valley
2/27/17,1,Valley
3/1/17,1,Valley
3/6/17,1,Valley
3/8/17,1,Valley
3/9/17,2,Valley
3/10/17,1,Valley
3/14/17,2,Valley
3/15/17,1,Valley
3/16/17,1,Valley
3/18/17,2,Valley
3/22/17,2,Valley
3/24/17,1,Valley
3/27/17,2,Valley
4/18/17,1,Valley
4/19/17,1,Valley
4/20/17,1,Valley
5/10/17,1,Valley
5/24/17,1,Valley
7/24/22,0,SFSalmon
7/30/22,4,SFSalmon
8/1/22,2,SFSalmon
8/2/22,1,SFSalmon
9/22/22,1,SFSalmon
9/24/22,1,SFSalmon
10/2/22,3,SFSalmon
10/5/22,1,SFSalmon
10/16/22,1,SFSalmon
10/17/22,4,SFSalmon
10/18/22,3,SFSalmon
10/19/22,2,SFSalmon
10/20/22,2,SFSalmon
10/21/22,3,SFSalmon
10/22/22,5,SFSalmon
10/23/22,11,SFSalmon
10/24/22,9,SFSalmon
10/25/22,13,SFSalmon
10/26/22,9,SFSalmon
10/27/22,7,SFSalmon
10/28/22,2,SFSalmon
10/29/22,2,SFSalmon
10/30/22,4,SFSalmon
10/31/22,5,SFSalmon
11/2/22,1,SFSalmon
11/3/22,1,SFSalmon
11/5/22,3,SFSalmon
11/10/22,2,SFSalmon
11/11/22,1,SFSalmon
11/13/22,2,SFSalmon
11/26/22,1,SFSalmon
11/29/22,1,SFSalmon
11/30/22,1,SFSalmon
12/2/22,1,SFSalmon
12/11/22,1,SFSalmon
12/12/22,1,SFSalmon
12/27/22,1,SFSalmon
1/12/23,1,SFSalmon
1/16/23,1,SFSalmon
1/20/23,1,SFSalmon
1/22/23,1,SFSalmon
1/23/23,1,SFSalmon
1/25/23,1,SFSalmon
1/26/23,2,SFSalmon
2/20/23,2,SFSalmon
2/21/23,2,SFSalmon
3/15/23,2,SFSalmon
3/16/23,1,SFSalmon
3/19/23,2,SFSalmon
3/20/23,4,SFSalmon
3/21/23,4,SFSalmon
3/22/23,2,SFSalmon
3/24/23,1,SFSalmon
3/26/23,1,SFSalmon
4/1/23,1,SFSalmon
4/8/23,1,SFSalmon
4/10/23,2,SFSalmon
4/13/23,1,SFSalmon
4/15/23,1,SFSalmon
4/16/23,2,SFSalmon
4/21/23,1,SFSalmon
5/11/23,1,SFSalmon
5/24/23,0,SFSalmon
