Tagging_fl_mm,10th_percentile,Median,90th_percentile
51,128,136,149.4
52,122,135,155.8
53,117,134,153.2
54,114,133,162
55,112.8,129,153
56,115,129,152
57,113,130,153
58,112,129,151
59,110,128,147
60,112,128,148.2
61,112,127,149
62,111,127,149
63,111,127,148
64,109,126,148
65,108,125,146
66,108.1,125,145
67,108,125,145
68,108,125,145
69,107,125,144
70,108,123,142
71,107,123,142
72,105.6,124,143
73,106,121,141.5
74,106,122,140
75,106,122,139.7
76,106,120,139
77,106,121.5,139
78,106,121,137
79,107.6,121,138.4
80,106,119,138
81,105,121,137.5
82,105,120,137.3
83,104,118,133.2
84,103.4,118,132.6
85,105,118,129.9
86,106.3,119,129.7
87,105,115,129.1
88,107,119,134
89,112.7,116.5,126
90,102.5,117.5,128
91,103.4,115,126.2
92,106.6,119.5,131.8
93,107,119.5,132
94,111,116.5,134.6
