Site_ID,Site,Latitude,Longitude,Distance_to_LGD_km
BL,Big Creek (lower),45.103,-114.854,486
BU,Big Creek (upper),45.101,-115.331,529
BV,Bear Valley Creek,44.428,-115.331,628
CA,Camas Creek,44.831,-114.503,525
CH,Cape Horn Creek,44.396,-115.169,630
CL,Chamberlain Creek,45.373,-115.188,436
EL,Elk Creek,44.412,-115.372,633
HE,Herd Creek,44.146,-114.29,697
LA,Lake Creek,45.271,-115.914,450
LO,Loon Creek,44.602,-114.807,551
MA,Marsh Creek,44.396,-115.169,619
SE,Secesh River,45.212,-115.809,429
SF,South Fork Salmon River,44.654,-115.702,456
SU,Sulphur Creek,44.535,-115.359,604
VA,Valley Creek,44.253,-115.005,740
WC,West Fork Chamberlain Creek,45.389,-115.192,437
