DateDetected,Length,InstreamMonitor
7/24/16,63,Valley
7/24/16,63,Valley
7/25/16,73,Valley
7/25/16,60,Valley
7/25/16,63,Valley
7/25/16,61,Valley
7/25/16,74,Valley
7/25/16,84,Valley
7/25/16,83,Valley
7/25/16,62,Valley
7/25/16,68,Valley
7/25/16,65,Valley
7/25/16,77,Valley
7/25/16,59,Valley
7/25/16,73,Valley
7/25/16,65,Valley
7/25/16,72,Valley
7/26/16,84,Valley
7/26/16,68,Valley
7/26/16,68,Valley
7/26/16,69,Valley
7/26/16,68,Valley
7/26/16,71,Valley
7/26/16,63,Valley
7/26/16,63,Valley
7/26/16,68,Valley
7/26/16,60,Valley
7/26/16,62,Valley
7/26/16,73,Valley
7/26/16,78,Valley
7/26/16,70,Valley
7/26/16,78,Valley
7/26/16,78,Valley
7/26/16,63,Valley
7/26/16,70,Valley
7/26/16,74,Valley
7/26/16,68,Valley
7/26/16,57,Valley
7/26/16,88,Valley
7/26/16,66,Valley
7/26/16,82,Valley
7/26/16,66,Valley
7/27/16,64,Valley
7/27/16,68,Valley
7/27/16,62,Valley
7/27/16,70,Valley
7/27/16,69,Valley
7/27/16,72,Valley
7/27/16,73,Valley
7/27/16,75,Valley
7/27/16,61,Valley
7/27/16,62,Valley
7/27/16,70,Valley
7/27/16,68,Valley
7/27/16,54,Valley
7/27/16,58,Valley
7/27/16,70,Valley
7/27/16,61,Valley
7/27/16,70,Valley
7/27/16,60,Valley
7/28/16,73,Valley
7/28/16,69,Valley
7/28/16,65,Valley
7/28/16,63,Valley
7/28/16,70,Valley
7/28/16,66,Valley
7/28/16,55,Valley
7/28/16,63,Valley
7/29/16,73,Valley
7/29/16,75,Valley
7/30/16,62,Valley
7/31/16,68,Valley
7/31/16,63,Valley
7/31/16,68,Valley
8/1/16,64,Valley
8/1/16,58,Valley
8/2/16,62,Valley
8/2/16,69,Valley
8/2/16,64,Valley
8/2/16,62,Valley
8/3/16,65,Valley
8/3/16,64,Valley
8/3/16,67,Valley
8/3/16,63,Valley
8/4/16,61,Valley
8/5/16,64,Valley
8/6/16,68,Valley
8/7/16,75,Valley
8/8/16,64,Valley
8/9/16,68,Valley
8/9/16,60,Valley
8/9/16,76,Valley
8/9/16,70,Valley
8/10/16,62,Valley
8/10/16,70,Valley
8/10/16,64,Valley
8/10/16,72,Valley
8/10/16,66,Valley
8/10/16,68,Valley
8/10/16,64,Valley
8/10/16,72,Valley
8/10/16,66,Valley
8/10/16,78,Valley
8/10/16,64,Valley
8/10/16,65,Valley
8/10/16,66,Valley
8/10/16,54,Valley
8/10/16,64,Valley
8/11/16,64,Valley
8/11/16,55,Valley
8/11/16,68,Valley
8/11/16,58,Valley
8/11/16,61,Valley
8/11/16,83,Valley
8/11/16,72,Valley
8/12/16,72,Valley
8/12/16,73,Valley
8/12/16,65,Valley
8/12/16,73,Valley
8/12/16,57,Valley
8/12/16,59,Valley
8/12/16,64,Valley
8/12/16,61,Valley
8/13/16,55,Valley
8/13/16,72,Valley
8/13/16,72,Valley
8/14/16,65,Valley
8/14/16,63,Valley
8/14/16,60,Valley
8/14/16,58,Valley
8/15/16,68,Valley
8/21/16,76,Valley
8/21/16,64,Valley
8/21/16,63,Valley
8/21/16,64,Valley
8/23/16,62,Valley
8/23/16,65,Valley
8/24/16,68,Valley
8/24/16,63,Valley
8/24/16,63,Valley
8/25/16,65,Valley
8/25/16,67,Valley
8/28/16,74,Valley
8/30/16,69,Valley
