Detection_date,Length_at_tagging
7/29/2016,73
7/29/2016,75
7/30/2016,62
7/31/2016,68
7/31/2016,63
7/31/2016,68
8/1/2016,64
8/1/2016,58
8/2/2016,62
8/2/2016,69
8/2/2016,64
8/2/2016,62
8/3/2016,65
8/3/2016,64
8/3/2016,67
8/3/2016,63
8/4/2016,61
8/5/2016,64
8/6/2016,68
8/7/2016,75
8/8/2016,64
8/9/2016,68
8/9/2016,60
8/9/2016,76
8/9/2016,70
8/10/2016,62
8/10/2016,70
8/10/2016,64
8/10/2016,72
8/10/2016,66
8/10/2016,68
8/10/2016,64
8/10/2016,72
8/10/2016,66
8/10/2016,78
8/10/2016,64
8/10/2016,65
8/10/2016,66
8/10/2016,54
8/10/2016,64
8/11/2016,64
8/11/2016,55
8/11/2016,68
8/11/2016,58
8/11/2016,61
8/11/2016,83
8/11/2016,72
8/12/2016,72
8/12/2016,73
8/12/2016,65
8/12/2016,73
8/12/2016,57
8/12/2016,59
8/12/2016,64
8/12/2016,61
8/13/2016,55
8/13/2016,72
8/13/2016,72
8/14/2016,65
8/14/2016,63
8/14/2016,60
8/14/2016,58
8/15/2016,68
8/21/2016,76
8/21/2016,64
8/21/2016,63
8/21/2016,64
8/23/2016,62
8/23/2016,65
8/24/2016,68
8/24/2016,63
8/24/2016,63
8/25/2016,65
8/25/2016,67
8/28/2016,74
8/30/2016,69
8/30/2016,63
8/30/2016,71
8/31/2016,74
9/3/2016,64
9/4/2016,71
9/4/2016,64
9/4/2016,61
9/5/2016,63
9/5/2016,74
9/5/2016,63
9/5/2016,67
9/7/2016,66
9/9/2016,70
9/10/2016,62
9/14/2016,65
9/15/2016,62
9/15/2016,68
9/15/2016,68
9/17/2016,69
9/18/2016,63
9/19/2016,57
9/20/2016,67
9/21/2016,60
9/21/2016,79
9/22/2016,73
9/22/2016,76
9/22/2016,68
9/22/2016,57
9/22/2016,78
9/23/2016,79
9/23/2016,72
9/23/2016,75
9/24/2016,66
9/24/2016,65
9/27/2016,72
9/27/2016,61
9/30/2016,68
10/3/2016,59
