SiteCode,IWI,AWA,MWA,AWM,MWM,AWI,Species,LifeHistory,Life.stage,Start,End,Thresh.hi,Thresh.lo,year
MAR,0.654,1.44554173639934,2.21856547619048,1.5817979342393,2.34554166666667,1.29731357388316,Chinook,fall_outmigrants,rearing,1994-04-15,1994-10-31,18,9,1994
STH,1.10404166666667,2.0989537254902,3.26736904761905,2.25078441176471,3.47895833333333,1.93722867647059,Chinook,fall_outmigrants,rearing,1994-04-15,1994-10-31,18,9,1994
VAL,1.64166666666667,2.33155643262987,3.08648214285714,2.46672760416667,3.237125,2.19817324810606,Chinook,fall_outmigrants,rearing,1994-04-15,1994-10-31,18,9,1994
MAR,0.7495,2.31719825163817,3.5817380952381,2.49689636373823,3.79120833333333,2.14198067010309,Chinook,fall_outmigrants,rearing,1995-04-15,1995-10-31,18,9,1995
STH,2.70791666666667,3.81840895702236,4.89741558441559,3.98371091065292,5.04945833333333,3.65255068728522,Chinook,fall_outmigrants,rearing,1995-04-15,1995-10-31,18,9,1995
VAL,1.437,2.76913236377025,3.97624404761905,2.95252144698085,4.236875,2.59640120274914,Chinook,fall_outmigrants,rearing,1995-04-15,1995-10-31,18,9,1995
MAR,1.203625,2.4977442317133,4.6687380952381,2.70964776632302,4.86033333333333,2.28670790378007,Chinook,fall_outmigrants,rearing,1996-04-15,1996-10-31,18,9,1996
MAR,0.997375,2.46779460364984,4.16277380952381,2.6753255988024,4.36629166666667,2.26222090818363,Chinook,fall_outmigrants,rearing,1997-04-15,1997-10-31,18,9,1997
MAR,0.0441428571428571,1.0298592141748,1.59616071428571,1.18995307971015,1.74995833333333,0.871142035455487,Chinook,fall_outmigrants,rearing,1998-04-15,1998-10-31,18,9,1998
STH,2.0555,3.110028094829,4.17064285714286,3.26558562428408,4.35825,2.94769902634593,Chinook,fall_outmigrants,rearing,1998-04-15,1998-10-31,18,9,1998
VAL,0.932708333333333,1.94886420787794,3.11982142857143,2.11415246880087,3.50208333333333,1.78440118014107,Chinook,fall_outmigrants,rearing,1998-04-15,1998-10-31,18,9,1998
SEC,0.381125,1.73125331369661,3.21058333333333,1.93805240549828,3.3515,1.53454209621993,Chinook,fall_outmigrants,rearing,1998-04-15,1998-10-31,18,9,1998
MAR,0.966875,1.95003859563976,3.753125,2.12413794517338,3.873875,1.76824705170259,Chinook,fall_outmigrants,rearing,1999-04-15,1999-10-31,18,9,1999
STH,1.66095833333333,2.3204572287678,3.32951785714286,2.48335309278351,3.48091666666667,2.15081486254296,Chinook,fall_outmigrants,rearing,1999-04-15,1999-10-31,18,9,1999
VAL,0.99525,1.96496563573883,3.41725595238095,2.13192139175258,3.53825,1.79903737113402,Chinook,fall_outmigrants,rearing,1999-04-15,1999-10-31,18,9,1999
SEC,0.640333333333333,1.90595678258415,4.2015,2.11492798913043,4.389375,1.69721563878387,Chinook,fall_outmigrants,rearing,1999-04-15,1999-10-31,18,9,1999
SFS,0.544583333333333,1.36682231169025,3.15633928571429,1.55436798707605,3.34195833333333,1.18126878828627,Chinook,fall_outmigrants,rearing,1999-04-15,1999-10-31,18,9,1999
MAR,0.446041666666667,1.40052862665685,2.67220238095238,1.54996842783505,2.780125,1.23121391752577,Chinook,fall_outmigrants,rearing,2000-04-15,2000-10-31,18,9,2000
STH,0.788625,1.70242044059892,2.62982738095238,1.85106765463918,2.756,1.52911490549828,Chinook,fall_outmigrants,rearing,2000-04-15,2000-10-31,18,9,2000
VAL,0.743458333333333,1.43953189739813,2.24326785714286,1.59304463058419,2.58804166666667,1.27046756872852,Chinook,fall_outmigrants,rearing,2000-04-15,2000-10-31,18,9,2000
SEC,0.50825,1.64469888316151,2.43863095238095,1.84894007731959,2.57508333333333,1.43628801546392,Chinook,fall_outmigrants,rearing,2000-04-15,2000-10-31,18,9,2000
SFS,0.05825,1.09006237800666,2.34166071428571,1.24446200345423,2.48079166666667,0.923254397792481,Chinook,fall_outmigrants,rearing,2000-04-15,2000-10-31,18,9,2000
MAR,0.768875,1.30811166317154,2.22340036231884,1.44204839477813,2.46826086956522,1.17551374570447,Chinook,fall_outmigrants,rearing,2001-04-15,2001-10-31,18,9,2001
STH,1.31370833333333,1.96177583456063,2.78783333333333,2.0903543814433,2.89491666666667,1.82940721649485,Chinook,fall_outmigrants,rearing,2001-04-15,2001-10-31,18,9,2001
